Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
0.56,1448944.12670705,1871.83293473449,191,207
0.57,1448884.12682705,1922.36139596667,195,220
0.58,1448768.32288222,1976.36125340356,209,228
0.59,1448635.77810892,2136.87517458617,214,238
0.6,1448565.77824892,2193.66757249169,222,248
0.61,1448455.77844892,2280.87487002284,245,258
0.62,1448315.77865664,2433.87468020524,252,274
0.63,1448225.77883664,2496.87448507903,264,286
0.64,1448095.77909664,2613.8743374869,277,297
0.65,1447887.05585987,2721.87415604931,293,309
0.66,1447797.05591987,2918.725054014,305,318
0.67,1447727.05599987,2954.72508857687,315,332
0.68,1447466.57782279,3062.72478760598,340,338
0.69,1447190.15041667,3392.94022002278,360,352
0.7,1446993.98967788,3518.93996945959,370,366
0.71,1446841.08385911,3713.48449467574,387,390
0.72,1446701.08409911,3842.09975100921,406,400
0.73,1446581.08410431,3968.09955300749,423,412
0.74,1446318.30230963,4112.09956131566,439,430
0.75,1446188.30252963,4303.60326653379,455,454
0.76,1445968.30296963,4456.60289212913,479,473
0.77,1445710.90641161,4684.51167206948,508,483
0.78,1445540.90654144,4877.25962206107,512,513
0.79,1445400.90674144,4994.25921812045,555,522
0.8,1445094.96916999,5233.60313899019,577,540
0.81,1444799.64875815,5413.60288339923,612,553
0.82,1444413.14086062,5838.24871464415,640,581
0.83,1444135.9252933,6114.178444241,665,612
0.84,1443746.81821129,6330.7421981666,707,621
0.85,1443412.27925908,6698.93891962542,738,649
0.86,1443182.27946981,6946.02375066511,768,674
0.87,1442992.27975793,7200.81609788056,794,700
0.88,1442762.28007793,7353.81570247486,823,722
0.89,1442463.52184725,7542.81550159759,861,735
0.9,1442233.52224725,7817.90535146183,892,751
0.91,1442003.52264725,8042.90483448885,912,783
0.92,1441726.28461728,8222.9047337128,945,804
0.93,1441454.18950989,8546.30472579322,995,795
0.94,1441088.59232378,8866.34226315167,1026,811
0.95,1440758.59828507,9163.33701824058,1049,848
0.96,1440504.09586559,9397.33648320789,1095,846
0.97,1440224.09630559,9626.38875061023,1136,856
0.98,1439924.0968056,9881.18077358062,1166,890
0.99,1439445.02231535,10256.4844279329,1215,918
1,1439006.48940905,10602.1761288094,1268,930
1.01,1438716.48982905,10959.0270855964,1314,957
