Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
2.7,159796585.084664,181829.156574292,32576,10895
2.71,159794035.106726,184023.026516261,33011,11006
2.72,159791365.116806,186526.763890027,33469,11118
2.73,159788725.108683,188645.188221127,33889,11276
2.74,159786125.264359,191054.132737934,34348,11388
2.75,159783605.292542,193564.623224146,34774,11437
2.76,159781355.143786,195610.886254687,35172,11572
2.77,159778705.172108,197677.583217067,35636,11662
2.78,159776005.176087,200095.923964035,36090,11752
2.79,159773495.185708,202450.985759023,36548,11891
2.8,159771055.182579,204676.284894329,37032,11985
2.81,159768495.19858,206917.777819188,37507,12049
2.82,159765785.215021,209413.682281037,38002,12114
2.83,159762965.230623,211852.530697229,38458,12265
2.84,159760325.228062,214277.068197005,38920,12375
2.85,159757605.224822,216682.863046824,39397,12467
2.86,159754815.386009,219130.876953635,39854,12610
2.87,159751987.313048,221709.191781022,40361,12724
2.88,159749007.311407,224363.927631743,40826,12860
2.89,159746097.26531,226793.481499565,41348,12991
2.9,159743147.275805,229589.833427503,41846,13113
2.91,159740267.285826,232280.812528501,42348,13222
2.92,159737517.419701,234879.016502556,42807,13419
2.93,159734357.417784,237443.912330808,43388,13482
2.94,159731287.42742,240249.099370688,43914,13625
2.95,159728227.425319,242942.893987083,44432,13765
2.96,159724877.331366,245864.964636056,44963,13949
2.97,159721787.236633,248712.075563266,45531,14032
2.98,159718737.246514,251423.85859501,46084,14205
2.99,159715317.257714,254438.688104414,46573,14359
3,159712247.255731,257183.211369238,47221,14370
3.01,159709067.278497,260112.251248405,47744,14522
3.02,159706077.282396,262892.612148797,48283,14686
3.03,159703067.292317,265470.013682027,48834,14803
3.04,159699877.290616,268386.010310587,49431,14901
3.05,159696937.300556,271095.017542865,49963,15080
3.06,159693357.405008,274067.693575719,50621,15157
3.07,159690127.403506,277147.458191432,51167,15364
3.08,159686917.295892,280079.085059451,51755,15545
3.09,159683247.307272,283169.562822446,52427,15616
3.1,159679997.311612,286259.373795595,53027,15719
3.11,159676767.309431,289097.779813195,53676,15829
3.12,159673477.326573,292145.080961295,54234,16008
3.13,159669957.600882,295270.752525917,54821,16226
3.14,159666497.605402,298190.668565848,55453,16315
3.15,159663097.622383,301290.868258285,56106,16414
3.16,159659567.633183,304556.500076223,56730,16539
3.17,159656207.819263,307643.532174548,57309,16733
3.18,159652597.836384,310502.73221141,57947,16852
3.19,159648947.847764,313892.301045621,58601,16978
3.2,159645267.876488,317225.434800697,59288,17109
3.21,159641697.769733,320528.691336559,59905,17262
3.22,159637837.99876,323794.339710206,60555,17435
3.23,159634348.132982,327140.015923088,61160,17697
3.24,159630338.479764,330370.551561724,61873,17835
3.25,159626378.609373,334123.61988001,62607,17983
3.26,159622400.420032,337693.922403816,63289,18172
3.27,159618270.431952,341307.384235183,64025,18308
3.28,159614150.456933,344997.356676417,64668,18517
3.29,159610530.480535,348615.351696529,65292,18762
3.3,159606680.479553,351782.707411422,66022,18919
3.31,159602520.460979,355523.931917731,66831,18967
3.32,159598170.606492,359457.868008298,67470,19248
3.33,159594350.769308,363029.190041885,68199,19426
3.34,159590390.786828,366371.458080097,68993,19572
3.35,159585900.793348,370234.61132981,69749,19734
3.36,159581620.910677,374246.429978465,70521,19871
3.37,159577440.75836,377997.03831536,71179,20169
3.38,159573110.922117,381750.303713525,72042,20189
3.39,159568982.868987,385694.822066305,72855,20309
3.4,159564800.952642,389591.04336732,73536,20537
3.41,159560671.11604,393383.562523965,74284,20739
3.42,159556251.116178,396923.352688046,75072,20867
3.43,159551971.122137,400784.363718778,75761,21185
3.44,159547161.253212,404927.122053557,76595,21273
3.45,159542841.264902,409072.605687851,77370,21505
3.46,159538241.141085,413128.660616942,78222,21647
3.47,159533851.153205,417020.33537603,79054,21785
3.48,159529111.330123,421202.247597631,79849,22006
3.49,159524289.414248,425482.946068314,80703,22132
3.5,159519699.43909,429807.947550928,81542,22333
3.51,159514899.470695,434229.298714734,82358,22554
3.52,159510039.570477,438374.027802853,83195,22743
3.53,159505411.700209,442629.398544185,84100,22863
3.54,159500931.748954,446762.007370643,84986,22994
3.55,159496109.826791,450919.98497644,85848,23144
3.56,159491499.71516,455121.406686508,86624,23333
3.57,159486799.702537,459228.705418913,87500,23458
3.58,159481999.733815,463521.176185643,88359,23666
3.59,159476941.681896,467973.251974583,89278,23845
3.6,159471981.788148,472480.765663775,90133,24066
3.61,159467041.801628,476979.954529621,90956,24337
3.62,159461721.821219,481486.601422281,91937,24449
3.63,159456661.815577,486226.180345632,92889,24586
3.64,159451601.822701,490829.011565587,93801,24757
3.65,159446321.82994,495486.903524466,94615,25088
3.66,159441171.855821,500062.668836379,95637,25167
3.67,159435861.86324,505012.67887782,96534,25378
3.68,159430881.956367,509376.697107908,97431,25573
3.69,159425851.963473,513940.59484058,98386,25732
3.7,159420321.98381,518595.746276169,99387,25881
3.71,159415633.94911,523468.364410082,100370,26052
3.72,159409993.957189,527972.445941266,101311,26304
3.73,159404663.884498,532865.639733095,102332,26414
3.74,159399453.884651,537767.42190354,103231,26691
3.75,159393954.279016,542282.017613713,104323,26797
3.76,159388664.174258,547307.094604135,105291,27045
3.77,159383084.070204,552200.710471853,106227,27303
3.78,159377444.079004,557134.63573803,107141,27605
3.79,159371628.835465,562484.648687892,108209,27775
3.8,159366188.835723,567559.684572073,109244,27985
3.81,159360488.855984,572346.765450622,110357,28129
3.82,159354799.033742,577497.117708668,111307,28472
3.83,159349069.065763,582738.826875291,112467,28562
3.84,159343479.085604,587862.364392813,113491,28784
3.85,159337633.829043,592787.910606245,114524,29074
3.86,159331603.837188,598166.504086018,115628,29257
3.87,159325873.849747,603485.353629057,116610,29542
3.88,159320263.869287,608614.351237818,117719,29664
3.89,159314424.189805,613630.669319734,118857,29872
3.9,159308424.203565,618956.036476021,119922,30120
3.91,159302302.388488,624444.977777105,121050,30308
3.92,159296532.414782,630046.26819574,122111,30619
3.93,159290312.747025,635415.839672362,123294,30803
3.94,159284412.88446,640782.734211954,124426,30980
3.95,159278233.004932,646065.236091489,125463,31303
3.96,159271983.301085,651807.585526065,126695,31409
3.97,159265643.315544,657447.175557361,127811,31677
3.98,159259213.365521,663102.317102541,128935,31972
3.99,159252843.361759,669006.376851359,130040,32277
4,159246763.216793,674428.748408329,131353,32384
4.01,159240353.262407,680316.205221243,132500,32646
4.02,159233753.581218,685985.597574316,133749,32825
4.03,159227423.60868,691955.460998152,134961,33019
4.04,159220913.769335,697795.939958461,136140,33296
4.05,159214262.940032,703384.921917018,137304,33593
4.06,159207324.943615,709232.539951929,138560,33806
4.07,159200604.81312,715771.263122203,139798,34059
4.08,159193795.017506,721669.66671212,140988,34301
4.09,159187515.143819,727777.224172535,142216,34529
4.1,159180986.08385,733758.032956665,143480,34723
4.11,159174004.099723,739591.495427846,144718,34912
4.12,159167474.120644,745765.816980549,145936,35153
4.13,159161013.97711,751529.65352234,147092,35511
4.14,159154213.980408,757448.725876182,148484,35616
4.15,159147143.950185,763718.407802836,149744,35915
4.16,159139854.07803,770255.876278782,151004,36161
4.17,159133684.09829,776276.123483568,152278,36400
4.18,159126284.338538,782206.946282583,153420,36796
4.19,159119454.66307,788713.096785452,154870,36895
4.2,159112214.842008,795190.713961444,156181,37142
4.21,159105091.646335,801323.618364272,157496,37428
4.22,159097801.668716,808011.70428267,158938,37601
4.23,159090241.573994,814603.221035442,160324,37886
4.24,159082561.584192,821545.46006253,161604,38206
4.25,159075451.571184,828292.195302117,162938,38465
4.26,159068321.639776,834391.182832009,164281,38765
4.27,159060636.392016,841271.309391576,165696,38967
4.28,159053106.417185,848153.878768242,167026,39339
4.29,159045591.685353,854873.031627442,168532,39470
4.3,159037926.9539,861518.03678088,169927,39794
4.31,159030475.034692,868442.054418226,171342,40036
4.32,159022595.183127,875392.249932329,172699,40369
4.33,159014955.205858,882238.471705695,174168,40650
4.34,159006807.069785,889516.542604954,175783,40700
4.35,158998629.465956,896789.502290876,177171,41026
4.36,158991059.494642,903861.612265164,178607,41265
4.37,158983278.129251,911056.743533578,180079,41544
4.38,158975768.138766,917914.891768693,181535,41830
4.39,158967858.057034,924748.502350283,182874,42194
4.4,158960518.230391,931623.79299824,184421,42391
4.41,158952468.687925,938578.42483198,185979,42530
4.42,158944358.686431,945874.019171799,187458,42780
4.43,158935968.892512,953067.483622232,189011,43033
4.44,158927898.763345,960624.510715513,190556,43245
4.45,158919518.504268,967710.138804158,191982,43671
4.46,158911496.407131,975179.627549354,193627,43805
4.47,158903076.833595,982775.750549939,195192,44089
4.48,158894606.857136,990207.175099919,196753,44374
4.49,158886357.010602,998011.29506257,198338,44621
4.5,158877927.373715,1005243.37774816,200022,44834
4.51,158869357.339784,1012892.28651888,201605,45100
4.52,158860487.27137,1020793.25530078,203233,45342
4.53,158852047.426648,1028693.33398349,204813,45613
4.54,158843417.569203,1036161.56585277,206538,45760
4.55,158834917.581668,1044114.53832051,208031,46133
4.56,158826037.587339,1051588.68866654,209623,46426
4.57,158817457.632359,1059450.97925382,211252,46640
4.58,158808507.626915,1067335.07885466,212867,47009
4.59,158799577.657056,1075609.49423521,214584,47290
4.6,158790627.675896,1083664.46650359,216211,47663
4.61,158781329.641734,1091743.09047859,217980,47806
4.62,158772081.72621,1100076.93806227,219611,48106
4.63,158763411.774269,1108146.5209087,221378,48365
4.64,158753741.906121,1116078.77488374,223163,48653
4.65,158744412.176648,1124931.55258284,224768,49044
4.66,158735492.18842,1133013.7428081,226499,49323
4.67,158726272.692928,1141425.65878119,228191,49656
4.68,158717242.429775,1149381.1594262,229998,49943
4.69,158707999.143119,1157509.67098446,231913,49968
4.7,158698899.155452,1166252.61976495,233449,50451
4.71,158690190.837411,1173869.49312867,235218,50711
4.72,158680740.722547,1182143.29220981,237119,50917
4.73,158671280.741557,1190525.06186854,238822,51189
4.74,158662300.741674,1199018.24062993,240613,51430
4.75,158652372.143886,1207425.74659871,242488,51675
4.76,158643062.167951,1216335.13290794,244142,52045
4.77,158633562.220623,1224475.15514262,245941,52263
4.78,158623602.198961,1233385.16213843,247739,52537
4.79,158614462.242119,1241796.50818713,249626,52770
4.8,158604905.276195,1250235.17655378,251400,53152
4.81,158595015.201512,1258980.39962696,253352,53337
4.82,158584695.215187,1268268.50959728,255129,53804
4.83,158574985.271944,1277386.88475368,257035,54050
4.84,158564635.292503,1286064.95018463,258878,54414
4.85,158555255.322824,1295125.13521819,260705,54697
4.86,158545625.227272,1303665.95695111,262627,55062
4.87,158535083.171124,1312355.26815663,264552,55415
4.88,158524913.438654,1322090.19977422,266644,55600
4.89,158514753.432671,1331357.2648974,268600,55903
4.9,158504293.190339,1340339.10734065,270596,56150
4.91,158494562.280523,1349701.99086297,272434,56523
4.92,158484252.313273,1358592.29192109,274281,56823
4.93,158474362.443866,1367426.77939769,276180,57176
4.94,158463822.482648,1376702.93549341,278271,57313
4.95,158453353.072728,1386292.70613951,280306,57662
4.96,158442943.5325,1395800.5910007,282244,58043
4.97,158432223.565517,1404858.79625654,284310,58348
4.98,158421460.225577,1414714.73220938,286365,58616
4.99,158410689.970825,1424415.97006989,288307,59032
5,158399720.214845,1434288.26611866,290280,59409
5.01,158388900.279041,1444134.12905637,292289,59778
5.02,158378380.323747,1453772.90995319,294289,60039
5.03,158368010.476399,1463049.45165668,296350,60422
5.04,158357060.498121,1472563.5887908,298537,60633
5.05,158346250.503402,1482395.14987462,300626,60947
5.06,158334531.615688,1492469.6778167,302636,61379
5.07,158323611.67665,1502678.84382017,304866,61646
5.08,158312443.638606,1512499.04667995,306738,62173
5.09,158301313.717101,1522485.08443127,308986,62445
5.1,158290013.989608,1532698.68909215,311080,62883
5.11,158278986.11185,1542893.32785135,313373,62998
5.12,158267776.303076,1553197.26491342,315325,63517
5.13,158256033.464513,1563220.99051958,317619,63654
5.14,158244863.413836,1573623.99006619,319574,64160
5.15,158233595.400066,1583393.82338909,321743,64585
5.16,158221745.050289,1594048.38068701,323989,64852
5.17,158210100.851655,1604757.76842076,326375,65081
5.18,158198470.848991,1614780.79746034,328618,65382
5.19,158187030.741943,1625419.528812,330844,65688
5.2,158174870.796264,1635845.67046422,333041,66025
5.21,158163385.118644,1646877.14653186,335183,66519
5.22,158151815.33271,1657045.0068946,337495,66698
5.23,158140055.953185,1667957.69376662,339714,67111
5.24,158128126.047563,1678262.12995561,342080,67369
5.25,158115956.057197,1689175.54628687,344328,67781
5.26,158104106.072771,1699773.45088144,346694,68126
5.27,158092110.013029,1710803.10414573,349008,68505
5.28,158080050.208149,1721308.28348848,351301,68893
5.29,158067154.102179,1732248.87058792,353859,68932
5.3,158054824.08549,1743907.84993511,356240,69260
5.31,158042510.504694,1755022.28917946,358500,69697
5.32,158030398.723751,1766116.13931501,360896,70117
5.33,158017144.070603,1777329.03046161,363230,70562
5.34,158004723.940722,1788767.65222733,365650,70838
5.35,157992644.175626,1800025.02292102,368031,71136
5.36,157979896.959983,1811228.82977419,370481,71447
5.37,157967686.861517,1822387.76993015,372852,71856
5.38,157954854.040232,1833660.68608841,375376,72121
